user_name,tweet_id,user_id,text,location,creation_time,favorite_count,retweet_count,followers_count,media_url,language
AnaiJka,1268362979617181697,1035098249655459840,"RT @BDaveWalters: HOLY SHIT DID YOU HEAR WHAT HAPPENED IN BOSTON?
#BlueLivesMatter https://t.co/AArGx0Gl2L","Malakoff, France",2020-06-04 02:04:34,0,37922,12,"http://pbs.twimg.com/media/EZlZ47xUEAE4_iL.png
http://pbs.twimg.com/media/EZlZ8JRU0AYxDrD.png",en
ililllilllliiil,1268362977545277443,895857542190034944,George Floyd was a methed out pornstar and you're gonna burn the country down over him!! Get real?!… https://t.co/iPWvtsRQ49,,2020-06-04 02:04:33,0,0,1,,en
MysticFlame159,1268362976999989260,1181903644649762821,"Me and the boys ENDING racism by posting kpop fancams to #BlueLivesMatters 

it wasn't trending until kpop idiots made it trend",,2020-06-04 02:04:33,0,0,10,,en
TheNerdySparrow,1268362975653564418,501920267,"RT @Mackletrain: Me waking up and seeing #WhiteLivesMatter trending, and then discovering it's because #kpopstans are once again riding har…","Rhode Island, USA",2020-06-04 02:04:33,0,2242,192,,en
josh_asher_,1268362973501890571,451009825,RT @3r1nG: K-Pop stans are still controlling the #BlueLivesMatter hashtag currently trending #11 🥰 amazing job https://t.co/3aaejMZrfu,Jamaica,2020-06-04 02:04:32,0,9,593,"http://pbs.twimg.com/media/EZobC0yWoAE98cI.jpg
http://pbs.twimg.com/media/EZobC0jXkAEygHT.jpg
http://pbs.twimg.com/media/EZobC0tXsAAANwq.jpg
http://pbs.twimg.com/media/EZobC0uXYAISNZc.jpg",en
aukletqd,1268362973216718849,23551268,RT @bigricanman: Rest In Peace Sgt Stephen Williams of the City of Moody PD who was shot &amp; killed in the line of duty on 6/2/20 while respo…,,2020-06-04 02:04:32,0,2645,2945,,en
Alexi_Olivia,1268362971509600257,932371827967459328,RT @lil_BIBA68: Definitely dont do this if you get arrested and have to sign some doc #BlueLivesMatter #protests https://t.co/MDRtb8J04D,"Georgia, United States",2020-06-04 02:04:32,0,19,75,http://pbs.twimg.com/ext_tw_video_thumb/1268348006966996999/pu/img/9gXVNp1D_pOygn-f.jpg,en
derry_girIs,1268362968619679747,728393965326766080,RT @KrSissy: Tobias Funke matters✊ @davidcross #BlueLivesMatters https://t.co/18o6Ow3SgP,(she/her),2020-06-04 02:04:31,0,324,141,http://pbs.twimg.com/media/EZoAVWZXgAEg4IG.jpg,en
OrangeShamWow,1268362965998280707,800849507000942592,All the respect in the world to America's law enforcement but for those in blue who support this racist...hes tarni… https://t.co/P1K0xVjb6H,Deep Red South USA,2020-06-04 02:04:30,0,0,435,,en
josh_asher_,1268362963955654657,451009825,RT @lil_BIBA68: Definitely dont do this if you get arrested and have to sign some doc #BlueLivesMatter #protests https://t.co/MDRtb8J04D,Jamaica,2020-06-04 02:04:30,0,19,593,http://pbs.twimg.com/ext_tw_video_thumb/1268348006966996999/pu/img/9gXVNp1D_pOygn-f.jpg,en
judy_schade,1268362961585876992,3745599797,@TheOfficerTatum #DavidDornsLifeMatters #Iwillnotbendtheknee #BlueLivesMatter  God Bless America 🙏🙏🙏🇺🇸🇺🇸🇺🇸,Canada,2020-06-04 02:04:29,0,0,6138,,en
Queenie0910,1268362960201641984,1132204103092670464,"RT @LonelyBrokenAn: Going  through this #WhiteLivesMatter for a few hours ,watch many kpop fancams, but this four fancam caught my eyes who…",,2020-06-04 02:04:29,0,622,834,,en
mayra0824,1268362955428630528,439653385,FELLOW KPOP STANS: #AllLivesMatter and #BlueLivesMatter are still in need of our help on Instagram!!!! Please help… https://t.co/u9NO5IidxK,NYC Living/Texas Bound,2020-06-04 02:04:28,0,0,380,,en
gepringle,1268362954346463234,43636068,RT @bigricanman: Rest In Peace Sgt Stephen Williams of the City of Moody PD who was shot &amp; killed in the line of duty on 6/2/20 while respo…,,2020-06-04 02:04:28,0,2646,214,,en
bitchasshacobo,1268362953314594817,1043594426281418752,RT @_Redpanda01: Full respect to the boys in blue. #BlueLivesMatters https://t.co/SJN0lKR6kE,,2020-06-04 02:04:27,0,77,47,http://pbs.twimg.com/media/EZn_kYSUEAAPY75.jpg,en
itsLiterallyHim,1268362952933081088,58894482,"Yes..Blue Ivy live does matter!! 💙💙
#BlueLivesMatters https://t.co/FPebiGAynV",in the BeyHive 🍯🐝,2020-06-04 02:04:27,0,0,1185,http://pbs.twimg.com/tweet_video_thumb/EZohYVcWAAEyI8m.jpg,en
oFightingirish9,1268362952068853761,765360172818571264,RT @larryelder: How many unarmed blacks were killed by cops last year? 9. How many unarmed whites were killed by cops last year? 19.  More…,"Nevada, USA",2020-06-04 02:04:27,0,15087,80,,en
NancyHa38139650,1268362950793990146,885717290393542661,RT @larryelder: How many unarmed blacks were shot and killed by cops last year? 9. How many unarmed whites were shot and killed by cops las…,,2020-06-04 02:04:27,0,2632,211,,en
jenw307,1268362949485199360,2460722557,RT @Constellasaur: You guys had me wondering why the fuck #BlueLivesMatter was trending and ya'll got me WHEEZING https://t.co/HsE3OflDH1,,2020-06-04 02:04:26,0,296,174,"http://pbs.twimg.com/media/EZnT8IRXgAMSZqa.jpg
http://pbs.twimg.com/media/EZnT8jTWkAEIv_Q.jpg
http://pbs.twimg.com/media/EZnT8-EWAAEsfrb.jpg
http://pbs.twimg.com/media/EZnT9mUWAAAy54p.jpg",en
ddaengsam,1268362945743990785,1012163485554397189,"yes, blue lives DO matter 🤩
#BlueLivesMatter https://t.co/s0WCg2BSNn",en tu corazon ,2020-06-04 02:04:25,0,0,744,"http://pbs.twimg.com/media/EZohX9sWoAANdjI.jpg
http://pbs.twimg.com/media/EZohX9sXkAkzILv.jpg
http://pbs.twimg.com/media/EZohX9tWsAES1bQ.jpg",en
sushi27597594,1268362944158425088,1224264997817077760,#BlueLivesMatter jungkook come thru https://t.co/XvydL6CZT0,,2020-06-04 02:04:25,0,0,1,http://pbs.twimg.com/media/EZohXzSUMAceJWT.jpg,en
Jeff81370671,1268362943479111682,883700061674385410,RT @bigricanman: Rest In Peace Sgt Stephen Williams of the City of Moody PD who was shot &amp; killed in the line of duty on 6/2/20 while respo…,S.C. No lists No trains Thanks,2020-06-04 02:04:25,0,2646,5107,,en
NowaySherise,1268362941881090061,1240637814250917889,RT @bigricanman: Rest In Peace Sgt Stephen Williams of the City of Moody PD who was shot &amp; killed in the line of duty on 6/2/20 while respo…,"Illinois, USA",2020-06-04 02:04:25,0,2646,276,,en
Texmom9,1268362940241055744,1176861569281642497,RT @bigricanman: Rest In Peace Sgt Stephen Williams of the City of Moody PD who was shot &amp; killed in the line of duty on 6/2/20 while respo…,,2020-06-04 02:04:24,0,2646,423,,en
_0Stardust0_,1268362934201303041,1208436322840518656,RT @sumaya_zee: A few gems from today’s protest at Hyde Park Lnd #BlueLivesMatter #londonprotest https://t.co/0UohN7pzuN,,2020-06-04 02:04:23,0,16,109,"http://pbs.twimg.com/media/EZn_WSKWkAEOHD7.jpg
http://pbs.twimg.com/media/EZn_WTVX0AMZgQP.jpg
http://pbs.twimg.com/media/EZn_WUoWoAA76i6.jpg
http://pbs.twimg.com/media/EZn_WbUXgAIhA_-.jpg",en
Xxcynthiax97X,1268362932200648704,325696296,"RT @greggellineau: The largest animals to have ever lived on Earth, blue whales can grow to over 30m long and weigh more than 130,000kg – t…","Miami, FL",2020-06-04 02:04:22,0,2,624,,en
Alexa_Nathalie_,1268362928996171776,2727028982,"RT @ruben_amazing: #BlueLivesMatters 

You can’t tell me this guys life doesn’t matter. Just look at him! 😭😭😭 https://t.co/51gDaV31Nq","Pennsylvania, USA",2020-06-04 02:04:21,0,139,854,"http://pbs.twimg.com/media/EZmfODKXkAIhBPo.jpg
http://pbs.twimg.com/media/EZmfODLXQAEdomq.jpg
http://pbs.twimg.com/media/EZmfODKXYAAL0wP.jpg",en
josh_asher_,1268362927372984326,451009825,"RT @LondonJemal6: Embrace,Empathize,Empower ✊🏾🖤 #BlueLivesMatter #GeorgeFloyd https://t.co/1lNmBFYua5",Jamaica,2020-06-04 02:04:21,0,29,593,"http://pbs.twimg.com/media/EZn9UeFUYAE6Fd0.jpg
http://pbs.twimg.com/media/EZn9UeFUcAEW-W2.jpg
http://pbs.twimg.com/media/EZn9UeHVcAAS6Ow.jpg
http://pbs.twimg.com/media/EZn9UeHVcAEr89B.jpg",en
Shy_HawesSundem,1268362925951066112,3941772916,RT @pretti_br0wn: I’m not gonna lie KPop stans really holding it down on twitter  #BlueLivesMatters https://t.co/8twGoGOtSu,Someplace with wifi,2020-06-04 02:04:21,0,256,499,http://pbs.twimg.com/tweet_video_thumb/EZoDlGkWkAU9L_o.jpg,en
yumeowko,1268362924369690625,1205870277596336128,"RT @realDekuStan: #BlueLivesMatters yes finally people see the light, stan Jinbei, first son of the sea and member of the Straw Hat pirates…",22♡+63,2020-06-04 02:04:20,0,6,416,,en
PageOneDegree,1268362923367231489,1227087921590616064,STAN TWITTER WE FOUND ONE LURKING HERE #kpop #whitelivesmatter https://t.co/8dEWnj6HBR https://t.co/oeSnYnVCID,,2020-06-04 02:04:20,0,0,35,http://pbs.twimg.com/ext_tw_video_thumb/1268362864298885121/pu/img/5FD10cqA-5hjQP8m.jpg,en
Chickenisa10,1268362923207991298,81552547,RT @moonlightubat: #BlueLivesMatter wtf is this i’m calling the cops the real cops https://t.co/pjZPBYva28,"Chicago, IL",2020-06-04 02:04:20,0,813,792,http://pbs.twimg.com/media/EZnd82RWkAEdNgb.jpg,en
